,code,자산,유동자산,부채,유동부채,이익잉여금,자본총계,영업이익,매출액,매출총이익,영업활동으로인한현금흐름,투자활동으로인한현금흐름,재무활동으로인한현금흐름,당기순이익,이자비용,법인세비용,매출총이익률,영업이익률,당기순이익률,roe,ebit
47,150900,42128505835,20446811496,24478800463,16351938005,-13705588993,17649705372,607531139,29391857398,18116281136,8102868931,-3918244470,-2975219577,-5251593995,0,-220886088,61.637074822065316,2.067004921714611,-17.867513181924156,-29.754570313288514,-5472480083.0
48,053620,192962464233,81151729484,36225599210,28621889511,147041966201,156736865023,9226143392,141028441628,25158836041,16542205311,-4971516571,6728290789,7159325852,157649865,896097532,17.839547647674586,6.542044487973856,5.076512063350047,4.567735772276306,8213073249.0
49,045510,73453827156,49386406059,33549345310,29463076301,5526130875,39904481846,1193939683,138330479637,9145994544,2285151402,-427524581,-1823658294,746914262,161383661,320437085,6.6116987145569555,0.8631067326109745,0.5399491594043594,1.8717553203234243,1228735008.0
50,025880,99665009460,50554728216,46073846473,34806702104,36440185170,53591162987,1308443175,64511066475,9619546281,2407469876,-3668181908,352974452,1333381057,966434517,198666914,14.911466832946974,2.0282460769844217,2.066902827465619,2.4880614315525267,2498482488.0
51,069080,534999116916,311361041153,105954755984,90831558277,318157061671,429044360932,104662513062,287993865390,0,132135521771,-95421792850,-8326826286,76303217872,94177064,28750294961,0.0,36.341924478240706,26.494737229444286,17.78445886254019,105147689897.0
52,115440,99782423028,77695446039,40034036537,19883167914,30016780754,59748386491,-3251159910,52351390967,12284444588,5989525047,-1090222834,19289429424,-11994696660,116200294,1303673021,23.46536426461633,-6.2102646175139595,-22.911896777606017,-20.075348246946856,-10574823345.0
53,305090,20788836549,10072386404,13150467107,7855676430,-20947910966,7638369442,-10510884722,2290186872,-2455545987,-5807188705,-408224544,6091633793,-10468628621,144666048,34165951,-107.22033284801749,-458.95314703384605,-457.108053014811,-137.05318524445366,-10289796622.0
54,025540,891276855825,380105406522,200488563083,155358513084,654533864128,690788292742,67322166153,762699590057,111321419015,111892781995,-54868780104,-10550921976,46684609306,6413230,15017531588,14.595709826811424,8.826826057159504,6.120969502882654,6.758164519652053,61708554124.0
55,078000,123082935320,82293230314,13083158049,11652007139,100427267196,109999777271,546069819,36401942699,12059668643,326288497,-8691195430,-3150944667,1903927799,8241760,37447136,33.12918967737206,1.5001117481979913,5.230291731249561,1.7308469582710195,1949616695.0
56,128820,893222348397,106653090125,444984549645,173651147003,682097669996,448237798752,2398302135,715757189595,78962650805,19173486060,-2029369189,2590042065,31857742837,12126627905,3508196025,11.032044379418638,0.33507202859632357,4.4509148214111836,7.107330735091839,47492566767.0
57,089850,114155492903,47702390582,51218452061,36338214128,44310541988,62937040842,5866687650,82219282728,22134684324,15804133977,-9037832829,9625867174,2196857080,783035120,-149168691,26.921524476474147,7.135415750838317,2.671948729190086,3.4905630303068897,2830723509.0
58,090710,128704642199,38638864742,55836725364,44772222254,-8309233078,72867916835,-6382911104,19919797790,2672030530,-9172045082,-6434519079,37106193424,38932356560,1053631517,-9702301891,13.413944047872786,-32.04305169806646,195.44554101620727,53.42866689623816,30283686186.0
59,036670,84521834888,42420315703,9944468777,8832450163,66490438393,74577366111,14091715015,73251256889,23812225501,9978896882,-6296431514,-4262797948,10615160457,58037588,2919478508,32.507599886079,19.23750610362035,14.491437973665757,14.23375617905375,13592676553.0
60,008420,187690631639,58312155565,68606174258,40324531322,92532894436,119084457381,2798586722,152678066899,9383606414,2787128562,-10770321464,-17506249384,8612102207,1468819002,1616039323,6.1460081363274455,1.8329985300713354,5.640693769522967,7.231927991615526,11696960532.0
61,052420,224911870894,79335227875,28134927726,12376005128,34458065466,196776943168,7236241058,79546990685,11925430681,13496136029,-33231004775,3798330874,12444789102,644671231,2137840923,14.991680487604858,9.096813085808565,15.644575608498396,6.324312646413638,15227301256.0
62,060380,99035390108,55241218246,43372479167,28939333727,45893527338,55662910941,1123173427,136641985652,8300110578,8959987218,15578970110,-24185350541,5285965673,1384129053,1231792861,6.074348626006309,0.8219826590199732,3.8684783800363562,9.496387421424778,7901887587.0
63,049430,147859440395,69987192865,7424439829,7129948691,128827934870,140435000566,14656645253,59148030497,20127126220,7945776777,1785697572,-3492161091,12404794887,1531819,3410831154,34.02839629803202,24.779599810586063,20.972456365439207,8.833121968885626,15817157860.0
64,092200,382666781783,113339357600,375026054932,310040945811,-119755949470,7640726851,-40731333006,351403611897,-19354311614,95802420569,-33179436801,-63035391372,-108756202289,5635760592,-893776053,-5.50771561781014,-11.591039940118423,-30.94908492883606,-1423.3750847246456,-104014217750.0
65,103230,53089640093,15367570735,13327860254,5782624469,23812342839,39761779839,-858248923,33495871526,3058762669,-2179475165,1553124558,625188491,623689323,10933221,-52875902,9.131760212973537,-2.562252850575374,1.8619886409460429,1.568564902087858,581746642.0
66,122990,311514429435,142164977870,24461473395,22848113783,157435745694,287052956040,12964353573,185505931931,45435926536,27704836565,-41549278368,-19740533250,4511628570,124626515,8145199991,24.492977697823783,6.988646367288226,2.4320670088750185,1.5717060127997142,12781455076.0
67,034300,765614223582,343791324097,563223277347,499992813969,143452421477,202390946235,20641628975,956756075135,87682221321,36253398255,-21840919499,-61934718131,12230772753,2574993903,2545240516,9.16453248636314,2.157459932730234,1.2783585148674614,6.043142235620864,17351007172.0
68,187790,69834140877,27078716679,26597470264,24599799278,6173049358,43236670613,360808833,36339792045,5497236319,8335739273,-2249142124,-1165506668,-4657277536,306001416,0,15.127319144239204,0.9928753377377783,-12.81591686114449,-10.771591498536184,-4351276120.0
69,066910,41377490693,35511784704,23170961178,20987976509,-55384721075,18206529515,-1413238940,81661929692,12739545846,-1325408748,967871229,-95665315,-1920650403,314804056,1125458,15.600348772125608,-1.730597042379771,-2.351953242158269,-10.54923949903585,-1604720889.0
70,042600,89693317346,17950260950,37263282189,25055332510,42226890840,52430035157,-1458954188,62731194403,6204112188,-5051052446,-9050311249,9337507381,-2980555540,381323521,42048914,9.889995315796666,-2.3257235923603394,-4.75131323158333,-5.684824606878148,-2557183105.0
71,051380,81428734723,77759861326,40010475847,39292338399,25127435716,41418258876,6877858063,313462867187,19915048485,4727706691,-335101898,4814724308,6082191246,264886089,1678362628,6.353240070735218,2.19415400768887,1.9403227248513608,14.684806679607561,8025439963.0
72,111870,148760631378,39581352714,32297448479,32021226692,17120480143,116463182899,-7337984384,16364954231,5382834324,-4036391977,-6311573518,6482526169,-45826218918,1248259138,526925288,32.89244960919805,-44.83962668285204,-280.0265632958005,-39.34824532293757,-44051034492.0
