,code,자산,유동자산,부채,유동부채,이익잉여금,자본총계,영업이익,매출액,매출총이익,영업활동으로인한현금흐름,투자활동으로인한현금흐름,재무활동으로인한현금흐름,당기순이익,이자비용,법인세비용,매출총이익률,영업이익률,당기순이익률,roe,ebit
66,122990,311514429435,142164977870,24461473395,22848113783,157435745694,287052956040,12964353573,185505931931,45435926536,27704836565,-41549278368,-19740533250,4511628570,124626515,8145199991,0,0,0,0.015717060127997142,12781455076.0
67,034300,765614223582,343791324097,563223277347,499992813969,143452421477,202390946235,20641628975,956756075135,87682221321,36253398255,-21840919499,-61934718131,12230772753,2574993903,2545240516,0,0,0,0.06043142235620864,17351007172.0
68,187790,69834140877,27078716679,26597470264,24599799278,6173049358,43236670613,360808833,36339792045,5497236319,8335739273,-2249142124,-1165506668,-4657277536,306001416,0,0,0,0,-0.10771591498536183,-4351276120.0
69,066910,41377490693,35511784704,23170961178,20987976509,-55384721075,18206529515,-1413238940,81661929692,12739545846,-1325408748,967871229,-95665315,-1920650403,313837481,1125458,0,0,0,-0.10549239499035849,-1605687464.0
70,042600,89693317346,17950260950,37263282189,25055332510,42226890840,52430035157,-1458954188,62731194403,6204112188,-5051052446,-9050311249,9337507381,-2980555540,355073214,42048914,0,0,0,-0.05684824606878148,-2583433412.0
71,051380,81428734723,77759861326,40010475847,39292338399,25127435716,41418258876,6877858063,313462867187,19915048485,4727706691,-335101898,4814724308,6082191246,264886089,1678362628,0,0,0,0.14684806679607562,8025439963.0
72,111870,148760631378,39581352714,32297448479,32021226692,17120480143,116463182899,-7337984384,16364954231,5382834324,-4036391977,-6311573518,6482526169,-45826218918,1248259138,526925288,0,0,0,-0.39348245322937575,-44051034492.0
73,217270,172714607637,30481061788,38102054726,24244155016,37471538058,134612552911,-973618325,7492898809,0,-1516582425,18428039521,-8940824000,57378548242,0,-11369456927,0,0,0,0.4262496104649038,46009091315.0
74,004540,550924161202,117564491727,342101962249,180296947770,35459203896,208822198953,50530812802,590215966846,130252475957,60464245578,-33679684005,-28374441656,36024781744,9928459942,5641158125,0,0,0,0.17251413846143898,51594399811.0
75,033100,71229148861,47249864535,12450574374,12084547926,46555990478,58778574487,3778977730,44195774535,8748282387,6848306973,-12056711717,-2136692780,3525211077,19814848,404212991,0,0,0,0.05997442278529003,3949238916.0
76,023900,131483141333,59909156585,5849479249,4523032685,116391137115,125633662084,8047020156,52324003522,11592491650,10063811471,-6019709628,-2105412912,6871392352,2347560,2142887907,0,0,0,0.054693879315606625,9016627819.0
77,035810,411959138209,25957710195,125449215910,93005472388,220559483792,286509922299,8918386600,57000363429,14141309331,129249448,-17206260870,20148764955,61921719535,4029737269,1509176975,0,0,0,0.21612417133106782,67460633779.0
78,353810,89822118179,58262280900,55781964611,35896949804,10430199263,34040153568,15198062187,88123274005,29662882183,16464996895,-525451873,-433036081,10425484100,703251685,2943582221,0,0,0,0.30627018409813067,14072318006.0
