종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"001390","KG케미칼","KOSPI",,"29100","-150","-0.51","29450","30100","28300","266269","7783579450","403503393600","13866096"
"033180","KH 필룩스","KOSPI",,"3900","130","3.45","3800","4020","3800","8357706","32819433460","505184316000","129534440"
"001940","KISCO홀딩스","KOSPI",,"20600","1550","8.14","19400","21300","19300","244884","4958297950","380613428000","18476380"
"025000","KPX케미칼","KOSPI",,"70700","-500","-0.70","71200","71900","69800","9461","668872600","342188000000","4840000"
"092230","KPX홀딩스","KOSPI",,"67300","-500","-0.74","67800","68200","66300","13556","909708100","284318675800","4224646"
"000040","KR모터스","KOSPI",,"1265","-20","-1.56","1295","1300","1230","815097","1033120235","121613770520","96137368"
"044450","KSS해운","KOSPI",,"12600","0","0.00","12800","12850","12100","202567","2517896550","292142088000","23185880"
"030200","KT","KOSPI",,"28950","200","0.70","28750","29250","28500","1028066","29737666100","7559186841600","261111808"
"033780","KT&G","KOSPI",,"82500","-400","-0.48","83000","83300","82500","356717","29553743650","11326631002500","137292497"
"030210","KTB투자증권","KOSPI",,"5740","-140","-2.38","5880","5920","5690","2134490","11723705470","346202888080","60314092"
"058850","KTcs","KOSPI",,"2915","-15","-0.51","2955","2965","2860","516761","1503797490","124426775000","42685000"
"058860","KTis","KOSPI",,"2915","-5","-0.17","2925","2940","2850","177899","514805580","101447830000","34802000"
"093050","LF","KOSPI",,"18350","50","0.27","18450","18450","17800","139198","2529901700","536554000000","29240000"
"003550","LG","KOSPI",,"126500","0","0.00","0","0","0","0","0","21828477071500","172557131"
"034220","LG디스플레이","KOSPI",,"25250","-950","-3.63","25700","26350","25200","6269690","160658229500","9034846425000","357815700"
"001120","LG상사","KOSPI",,"30800","300","0.98","30750","31100","30200","259895","7989437600","1193808000000","38760000"
"051900","LG생활건강","KOSPI",,"1531000","-19000","-1.23","1558000","1570000","1528000","37948","58385452300","23911459607000","15618197"
"051905","LG생활건강우","KOSPI",,"712000","3000","0.42","708000","712000","703000","5887","4168082000","1494984264000","2099697"
"003555","LG우","KOSPI",,"99500","0","0.00","0","0","0","0","0","329810361500","3314677"
"032640","LG유플러스","KOSPI",,"13250","-50","-0.38","13300","13400","13050","2282844","30197289450","5785100533250","436611361"
"011070","LG이노텍","KOSPI",,"206000","-5500","-2.60","213000","214000","204000","237301","49547308000","4875424042000","23667107"
"066570","LG전자","KOSPI",,"162000","-2000","-1.22","165000","165500","160000","1192074","193278478500","26510945868000","163647814"
"066575","LG전자우","KOSPI",,"74700","-700","-0.93","75800","76500","73600","107530","8045862000","1283793602400","17185992"
"108670","LG하우시스","KOSPI",,"93300","5400","6.14","88400","94400","88300","328009","30181962400","836683611000","8967670"
"108675","LG하우시스우","KOSPI",,"43350","2600","6.38","41000","47400","40000","137046","6069953950","44751505500","1032330"
"037560","LG헬로비전","KOSPI",,"5180","255","5.18","5040","5640","5020","21685605","114916375610","401174760700","77446865"
"051910","LG화학","KOSPI",,"951000","61000","6.85","915000","965000","913000","1405704","1322061975000","67133318193000","70592343"
"051915","LG화학우","KOSPI",,"447000","25000","5.92","430000","455000","430000","129711","57438489500","3436893600000","7688800"
"079550","LIG넥스원","KOSPI",,"40300","800","2.03","39450","40550","39100","76271","3047270100","886600000000","22000000"
"006260","LS","KOSPI",,"72400","1900","2.70","71200","72800","69900","280778","20182928800","2331280000000","32200000"
"010120","LS ELECTRIC","KOSPI",,"57200","-200","-0.35","57400","58300","57100","89799","5166372600","1716000000000","30000000"
"000680","LS네트웍스","KOSPI",,"2900","0","0.00","2900","2940","2840","39883","114860440","228528746400","78803016"
"229640","LS전선아시아","KOSPI",,"8010","0","0.00","8060","8110","7900","194713","1557552840","245305280790","30624879"
"023150","MH에탄올","KOSPI",,"10400","250","2.46","10200","10450","10050","77479","797054100","76736670400","7378526"
"035420","NAVER","KOSPI",,"366500","-7000","-1.87","373500","377500","366000","743106","275162050500","60202534267500","164263395"
"181710","NHN","KOSPI",,"72700","200","0.28","72300","73000","71600","47682","3456236300","1422377317500","19565025"
"005940","NH투자증권","KOSPI",,"12250","-50","-0.41","12300","12500","12200","872186","10757423150","3447258865750","281408887"
"005945","NH투자증권우","KOSPI",,"10900","-300","-2.68","11200","11250","10800","230374","2534122850","205693551200","18870968"
"338100","NH프라임리츠","KOSPI",,"4490","-20","-0.44","4515","4515","4470","53235","238791670","83783400000","18660000"
"034310","NICE","KOSPI",,"19300","700","3.76","18600","19600","18500","139831","2662204600","731128390000","37882300"
